"id","start_date","end_date","photo_count"
"1","2025-01-11","2025-01-11","2"
"2","2025-01-15","2025-01-23","8"
"3","2025-02-05","2025-02-05","1"
"4","2025-02-19","2025-02-21","2"
"5","2025-03-04","2025-03-04","1"
"6","2025-03-08","2025-03-13","5"
"7","2025-03-20","2025-03-23","3"
"8","2025-03-28","2025-03-28","1"
"9","2025-04-05","2025-04-05","1"
"10","2025-04-11","2025-04-11","2"
"11","2025-04-18","2025-04-20","8"
"12","2025-04-29","2025-04-29","1"
"13","2025-05-04","2025-05-04","1"
"14","2025-05-09","2025-05-11","4"
"15","2025-05-17","2025-05-17","1"
"17","2025-05-21","2025-05-21","1"
"18","2025-06-01","2025-06-01","1"
"19","2025-06-10","2025-06-14","6"
"20","2025-06-20","2025-06-22","5"
"21","2025-07-15","2025-07-18","3"
"22","2025-07-27","2025-07-27","3"
"23","2025-08-08","2025-08-12","13"
"24","2025-08-18","2025-08-21","2"
"25","2025-09-12","2025-09-14","3"
"26","2025-09-19","2025-09-23","8"
"27","2025-10-07","2025-10-07","1"
"28","2025-10-20","2025-10-20","1"
"29","2025-10-26","2025-10-26","3"
"30","2025-10-30","2025-10-31","3"
"31","2025-11-11","2025-11-11","1"
"32","2025-11-26","2025-11-28","8"
"33","2025-12-06","2025-12-06","2"
"34","2025-12-13","2025-12-18","3"
"35","2025-12-22","2025-12-27","6"
"36","2025-12-31","2025-12-31","1"
