"id","captured_at","width","height","event_group_id","skip_for_book","full_page","caption_len"
"4","2025-01-11 09:59:27","3024","4032","1","0","0","0"
"3","2025-01-11 14:07:08","4284","5712","1","0","0","0"
"1","2025-01-15 16:23:51","4284","5712","2","0","0","0"
"5","2025-01-17 11:12:44","2316","3088","2","0","0","0"
"2","2025-01-19 20:38:23","4284","5712","2","0","0","0"
"6","2025-01-20 17:52:18","5712","4284","2","0","0","0"
"7","2025-01-21 15:28:07","3024","4032","2","0","0","0"
"13","2025-01-21 22:47:21","1600","1200","2","0","0","0"
"8","2025-01-22 06:27:43","4480","6720","2","0","0","0"
"9","2025-01-23 13:56:31","4284","5712","2","0","0","0"
"10","2025-02-05 07:00:20","4284","5712","3","0","0","0"
"11","2025-02-19 18:24:46","3024","4032","4","0","0","0"
"12","2025-02-21 18:10:10","3024","4032","4","0","0","0"
"14","2025-03-04 18:39:36","4284","5712","5","0","0","0"
"15","2025-03-08 11:16:47","4284","5712","6","0","0","0"
"16","2025-03-08 13:21:08","2316","3088","6","0","0","0"
"17","2025-03-09 14:44:57","3024","4032","6","0","0","0"
"18","2025-03-11 14:58:09","4284","5712","6","0","0","0"
"19","2025-03-13 18:14:32","3024","4032","6","0","0","0"
"20","2025-03-20 20:12:37","3024","4032","7","0","0","0"
"21","2025-03-21 11:15:24","4284","5712","7","0","0","0"
"23","2025-03-22 15:47:27","1536","2048","16","0","0","0"
"22","2025-03-23 13:00:34","4284","5712","7","0","0","0"
"27","2025-03-28 10:29:21","5712","4284","8","0","0","0"
"24","2025-04-05 10:38:18","3515","5008","9","0","0","0"
"25","2025-04-11 10:26:14","4032","3024","10","0","0","0"
"26","2025-04-11 11:34:28","4032","3024","10","0","0","0"
"28","2025-04-18 12:19:01","5712","4284","11","0","0","0"
"29","2025-04-18 16:20:59","4284","5712","11","0","0","0"
"30","2025-04-19 10:38:33","4284","5712","11","0","0","0"
"31","2025-04-19 14:08:48","4284","5712","11","0","0","0"
"32","2025-04-19 14:14:24","3024","4032","11","0","0","0"
"33","2025-04-19 14:25:30","3024","4032","11","0","0","0"
"34","2025-04-20 08:45:04","5712","4284","11","0","0","0"
"35","2025-04-20 12:38:32","4284","5712","11","0","0","0"
"36","2025-04-29 17:52:23","4284","5712","12","0","0","0"
